#name,id,kpi7_avg,kpi7_max
,319,25 ,30 
,320,25 ,31 
,321,26 ,31 
,322,25 ,32 
,323,25 ,30 
,324,25 ,29 
,325,25 ,31 
,326,25 ,30 
,327,24 ,30 
,328,24 ,28 
,329,25 ,30 
,330,25 ,29 
,331,25 ,31 
,332,25 ,34 
,333,25 ,32 
,334,25 ,32 
,335,25 ,31 
,336,25 ,32 
,337,25 ,30 
,338,26 ,32 
,339,25 ,33 
,340,26 ,31 
,341,26 ,32 
,342,26 ,32 
,343,26 ,32 
,344,28 ,35 
,345,28 ,37 
,346,29 ,45 
,347,28 ,38 
,348,29 ,38 
,349,29 ,37 
,350,29 ,39 
,351,29 ,38 
,352,29 ,38 
,353,29 ,39 
,354,29 ,42 
,355,29 ,37 
,356,28 ,40 
,357,29 ,35 
,358,27 ,33 
,359,30 ,36 
,360,29 ,39 
,361,30 ,41 
,362,29 ,41 
,363,28 ,34 
,364,30 ,45 
,365,30 ,49 
,366,30 ,47 
,367,30 ,45 
,368,30 ,41 
,369,30 ,42 
,370,30 ,40 
,371,31 ,42 
,372,33 ,52 
,373,33 ,45 
,374,29 ,42 
,375,28 ,34 
,376,28 ,35 
,377,29 ,47 
,378,28 ,37 
,379,29 ,42 
,380,29 ,42 
,381,29 ,45 
,382,27 ,35 
,383,29 ,42 
,384,28 ,39 
,385,28 ,41 
,386,27 ,33 
,387,28 ,38 
,388,29 ,35 
,389,29 ,36 
,390,28 ,36 
,391,29 ,38 
,392,29 ,41 
,393,29 ,39 
,394,29 ,42 
,395,29 ,40 
,396,28 ,38 
,397,29 ,40 
,398,28 ,35 
,399,29 ,38 
,400,28 ,36 
,401,29 ,41 
,402,29 ,42 
,403,28 ,38 
,404,28 ,34 
,405,28 ,38 
,406,28 ,37 
,407,28 ,34 
,408,29 ,39 
,409,28 ,36 
,410,29 ,41 
,411,29 ,41 
,412,29 ,35 
,413,29 ,36 
,414,29 ,36 
,415,28 ,37 
,416,28 ,33 
,417,28 ,39 
,418,29 ,40 
,419,28 ,38 
,420,28 ,41 
,421,29 ,44 
,422,29 ,37 
,423,29 ,36 
,424,29 ,39 
,425,29 ,40 
,426,29 ,37 
,427,29 ,40 
,428,29 ,36 
,429,30 ,46 
,430,29 ,41 
,431,30 ,42 
,432,30 ,40 
,433,31 ,46 
,434,30 ,46 
,435,29 ,40 
,436,30 ,39 
,437,31 ,42 
,438,28 ,37 
,439,27 ,35 
,440,28 ,39 
,441,28 ,38 
,442,29 ,43 
,443,28 ,33 
,444,29 ,39 
,445,28 ,36 
,446,29 ,37 
,447,29 ,39 
,448,29 ,44 
,449,28 ,34 
,450,29 ,35 
,451,29 ,43 
,452,28 ,35 
,453,28 ,40 
,454,29 ,37 
,455,30 ,41 
,456,29 ,41 
,457,29 ,35 
,458,29 ,42 
,459,29 ,42 
,460,30 ,44 
,461,30 ,46 
,462,30 ,42 
,463,31 ,40 
,464,32 ,43 
,465,32 ,47 
,466,32 ,46 
,467,33 ,49 
,468,28 ,39 
,469,28 ,36 
,470,29 ,36 
,471,29 ,35 
,472,27 ,40 
,473,29 ,36 
,474,29 ,40 
,475,28 ,36 
,476,29 ,41 
,477,28 ,39 
,478,28 ,38 
,479,28 ,37 
,480,29 ,37 
,481,28 ,35 
,482,28 ,39 
,483,28 ,34 
,484,29 ,35 
