#name,id,P12,P13,P14,P15,kpi7_avg,kpi7_max,
,99,95 ,65 ,51 ,1 ,25 ,30 ,TRUE
,100,95 ,65 ,51 ,2 ,25 ,29 ,TRUE
,101,95 ,65 ,51 ,4 ,26 ,33 ,TRUE
,102,95 ,65 ,51 ,5 ,25 ,28 ,TRUE
,103,95 ,65 ,51 ,7 ,25 ,30 ,TRUE
,104,95 ,65 ,51 ,8 ,25 ,29 ,TRUE
,105,95 ,65 ,51 ,10 ,25 ,30 ,TRUE
,106,95 ,65 ,56 ,0 ,26 ,30 ,TRUE
,107,95 ,65 ,56 ,5 ,25 ,32 ,TRUE
,108,95 ,65 ,56 ,10 ,25 ,29 ,TRUE
,109,95 ,65 ,58 ,0 ,25 ,30 ,TRUE
,110,95 ,65 ,58 ,1 ,26 ,32 ,TRUE
,111,95 ,65 ,58 ,2 ,25 ,28 ,TRUE
,112,95 ,65 ,58 ,4 ,25 ,29 ,TRUE
,113,95 ,65 ,58 ,5 ,25 ,30 ,TRUE
,114,95 ,65 ,58 ,7 ,25 ,30 ,TRUE
,115,95 ,65 ,58 ,8 ,25 ,29 ,TRUE
,116,95 ,65 ,58 ,10 ,25 ,29 ,TRUE
,117,95 ,65 ,63 ,0 ,25 ,29 ,TRUE
,118,95 ,65 ,63 ,5 ,25 ,30 ,TRUE
,119,95 ,65 ,63 ,10 ,25 ,30 ,TRUE
,120,95 ,65 ,65 ,0 ,24 ,29 ,TRUE
,121,95 ,65 ,65 ,1 ,25 ,28 ,TRUE
,122,95 ,65 ,65 ,2 ,25 ,32 ,TRUE
,123,95 ,65 ,65 ,4 ,25 ,29 ,TRUE
,124,95 ,65 ,65 ,5 ,25 ,31 ,TRUE
,125,95 ,65 ,65 ,7 ,25 ,29 ,TRUE
,126,95 ,65 ,65 ,8 ,25 ,33 ,TRUE
,127,95 ,65 ,65 ,10 ,25 ,34 ,TRUE
,128,95 ,65 ,70 ,0 ,25 ,33 ,TRUE
,129,95 ,65 ,70 ,5 ,25 ,29 ,TRUE
,130,95 ,65 ,70 ,10 ,25 ,28 ,TRUE
,131,95 ,65 ,72 ,0 ,25 ,35 ,TRUE
,132,95 ,65 ,72 ,1 ,25 ,29 ,TRUE
,133,95 ,65 ,72 ,2 ,26 ,31 ,TRUE
,134,95 ,65 ,72 ,4 ,25 ,29 ,TRUE
,135,95 ,65 ,72 ,5 ,26 ,31 ,TRUE
,136,95 ,65 ,72 ,7 ,26 ,32 ,TRUE
,137,95 ,65 ,72 ,8 ,25 ,30 ,TRUE
,138,95 ,65 ,72 ,10 ,26 ,32 ,TRUE
,139,95 ,65 ,76 ,0 ,25 ,28 ,TRUE
,140,95 ,65 ,76 ,5 ,26 ,34 ,TRUE
,141,95 ,65 ,76 ,10 ,26 ,31 ,TRUE
,142,95 ,65 ,80 ,0 ,25 ,30 ,TRUE
,143,95 ,65 ,80 ,1 ,26 ,33 ,TRUE
,144,95 ,65 ,80 ,2 ,26 ,33 ,TRUE
,145,95 ,65 ,80 ,4 ,26 ,29 ,TRUE
,146,95 ,65 ,80 ,5 ,26 ,31 ,TRUE
,147,95 ,65 ,80 ,7 ,26 ,31 ,TRUE
,148,95 ,65 ,80 ,8 ,26 ,31 ,TRUE
,149,95 ,65 ,80 ,10 ,26 ,30 ,TRUE
,150,95 ,65 ,83 ,0 ,25 ,32 ,TRUE
,151,95 ,65 ,83 ,5 ,26 ,29 ,TRUE
,152,95 ,65 ,83 ,10 ,26 ,33 ,TRUE
,153,95 ,65 ,90 ,0 ,26 ,32 ,TRUE
,154,95 ,65 ,90 ,5 ,26 ,31 ,TRUE
,155,95 ,65 ,90 ,10 ,26 ,32 ,TRUE
,156,95 ,70 ,30 ,0 ,25 ,29 ,TRUE
,157,95 ,70 ,30 ,5 ,25 ,29 ,TRUE
,158,95 ,70 ,30 ,10 ,26 ,31 ,TRUE
,159,95 ,70 ,36 ,0 ,26 ,31 ,TRUE
,160,95 ,70 ,36 ,5 ,25 ,32 ,TRUE
,161,95 ,70 ,36 ,10 ,25 ,29 ,TRUE
,162,95 ,70 ,43 ,0 ,25 ,30 ,TRUE
,163,95 ,70 ,43 ,5 ,25 ,31 ,TRUE
,164,95 ,70 ,43 ,10 ,25 ,29 ,TRUE
,165,95 ,70 ,50 ,0 ,25 ,31 ,TRUE
,166,95 ,70 ,50 ,5 ,26 ,31 ,TRUE
,167,95 ,70 ,50 ,10 ,25 ,30 ,TRUE
,168,95 ,70 ,56 ,0 ,25 ,31 ,TRUE
,169,95 ,70 ,56 ,5 ,25 ,29 ,TRUE
,170,95 ,70 ,56 ,10 ,25 ,29 ,TRUE
,171,95 ,70 ,63 ,0 ,25 ,28 ,TRUE
,172,95 ,70 ,63 ,5 ,25 ,30 ,TRUE
,173,95 ,70 ,63 ,10 ,25 ,29 ,TRUE
,174,95 ,70 ,70 ,0 ,25 ,29 ,TRUE
,175,95 ,70 ,70 ,5 ,25 ,29 ,TRUE
,176,95 ,70 ,70 ,10 ,25 ,31 ,TRUE
,177,95 ,70 ,76 ,0 ,25 ,30 ,TRUE
,178,95 ,70 ,76 ,5 ,25 ,32 ,TRUE
,179,95 ,70 ,76 ,10 ,25 ,31 ,TRUE
,180,95 ,70 ,83 ,0 ,26 ,35 ,TRUE
,181,95 ,70 ,83 ,5 ,25 ,31 ,TRUE
,182,95 ,70 ,83 ,10 ,26 ,30 ,TRUE
,183,95 ,70 ,90 ,0 ,27 ,32 ,TRUE
,184,95 ,70 ,90 ,5 ,26 ,30 ,TRUE
,185,95 ,70 ,90 ,10 ,26 ,31 ,TRUE
,186,95 ,71 ,30 ,0 ,26 ,29 ,TRUE
,187,95 ,71 ,30 ,1 ,26 ,32 ,TRUE
,188,95 ,71 ,30 ,2 ,26 ,31 ,TRUE
,189,95 ,71 ,30 ,4 ,26 ,29 ,TRUE
,190,95 ,71 ,30 ,5 ,25 ,31 ,TRUE
,191,95 ,71 ,30 ,7 ,26 ,30 ,TRUE
,192,95 ,71 ,30 ,8 ,25 ,28 ,TRUE
,193,95 ,71 ,30 ,10 ,26 ,29 ,TRUE
,194,95 ,71 ,37 ,0 ,25 ,29 ,TRUE
,195,95 ,71 ,37 ,1 ,25 ,28 ,TRUE
,196,95 ,71 ,37 ,2 ,25 ,30 ,TRUE
,197,95 ,71 ,37 ,4 ,26 ,29 ,TRUE
,198,95 ,71 ,37 ,5 ,25 ,29 ,TRUE
,199,95 ,71 ,37 ,7 ,26 ,30 ,TRUE
